,MACD_apply_to,MACD_fast,MACD_slow,MACD_signal,MACD_column_div,Divergence_num_exteremes_min,Divergence_num_exteremes_max,Divergence_diff_extereme,BestFinder_n_clusters,BestFinder_alpha,Runner_methode1__lenght_data_5M,Runner_methode1__lenght_data_1H,ExtremePoints_num_max_5M,ExtremePoints_num_min_5M,ExtremePoints_weight_5M,ExtremePoints_num_max_1H,ExtremePoints_num_min_1H,ExtremePoints_weight_1H,TrendLines_num_max_5M,TrendLines_num_min_5M,TrendLines_weight_5M,TrendLines_num_max_1H,TrendLines_num_min_1H,TrendLines_weight_1H,TrendLines_length_long_5M,TrendLines_length_mid_5M,TrendLines_length_short1_5M,TrendLines_length_short2_5M,TrendLines_length_long_1H,TrendLines_length_mid_1H,TrendLines_length_short1_1H,TrendLines_length_short2_1H,TrendLines_power_long_5M,TrendLines_power_mid_5M,TrendLines_power_short1_5M,TrendLines_power_short2_5M,TrendLines_power_long_1H,TrendLines_power_mid_1H,TrendLines_power_short1_1H,TrendLines_power_short2_1H,IchimokouFlatLines_tenkan_5M,IchimokouFlatLines_kijun_5M,IchimokouFlatLines_senkou_5M,IchimokouFlatLines_n_cluster_5M,IchimokouFlatLines_weight_5M,IchimokouFlatLines_tenkan_1H,IchimokouFlatLines_kijun_1H,IchimokouFlatLines_senkou_1H,IchimokouFlatLines_n_cluster_1H,IchimokouFlatLines_weight_1H,BestFinder_n_cluster_low,BestFinder_n_cluster_high,BestFinder_alpha_low,BestFinder_alpha_high,n_clusters_best_low,n_clusters_best_high,st_percent_min,st_percent_max,tp_percent_min,tp_percent_max,ExtremePoints_status,ExtremePoints_T_5M,ExtremePoints_T_1H,TrendLines_status,TrendLines_T_5M,TrendLines_long_T_5M,TrendLines_mid_T_5M,TrendLines_short1_T_5M,TrendLines_short2_T_5M,TrendLines_T_1H,TrendLines_long_T_1H,TrendLines_mid_T_1H,TrendLines_short1_T_1H,TrendLines_short2_T_1H,IchimokouFlatLines_T_5M,IchimokouFlatLines_T_1H,IchimokouFlatLines_status,score,islearned,isborn
0,HLCC/4,247,553,18,macdh,67,180,6,25,0.96,2252,150,31,85,340,132,36,473,167,147,889,82,56,512,875,547,165,11,197,43,305,157,404,627,919,150,135,857,41,403,54,821,478,19,77,49,62,210,37,189,49,19,0.62,0.13,33,14,0.87,0.87,0.96,0.96,True,True,False,False,False,False,True,True,True,True,True,True,True,True,False,True,True,-1,True,False
1,HLCC/4,27,955,21,macd,39,35,6,26,0.4,2860,541,100,34,272,220,182,322,112,235,255,106,91,427,858,631,201,20,72,792,221,10,397,672,297,555,875,525,432,409,272,1062,1739,28,229,189,598,105,42,2,27,1,0.11,0.02,43,6,0.97,0.82,0.96,0.98,False,False,True,True,False,False,True,False,True,True,False,False,False,True,False,True,False,-1,True,False
2,open,500,1427,44,macdh,146,216,6,45,0.5,1478,841,159,7,692,169,66,290,91,120,496,216,95,657,558,529,200,159,895,525,355,53,323,75,803,268,398,867,767,322,369,863,2107,24,155,122,627,106,18,246,8,47,0.16,0.86,14,46,0.88,0.93,0.86,0.8,False,True,False,True,False,False,True,False,False,True,True,True,False,True,False,False,False,-1,True,False
3,HLCC/4,63,826,25,macd,194,249,6,2,0.65,2614,705,95,64,324,176,117,662,81,189,510,84,211,605,687,455,297,79,49,214,191,14,315,323,526,686,495,960,685,560,46,986,1660,49,668,181,681,63,46,816,27,35,0.99,0.06,35,23,0.93,0.81,0.94,0.94,True,False,True,True,True,True,True,True,False,True,True,False,False,False,False,False,True,-1,True,False
4,HLCC/4,456,1324,36,macdh,246,163,6,42,0.87,734,974,194,219,132,17,234,219,172,133,726,162,14,358,804,469,464,12,714,571,76,35,877,624,639,338,139,879,20,351,346,931,1511,41,727,45,70,42,2,684,4,24,0.78,0.17,22,22,0.81,0.96,0.96,0.82,True,True,True,False,True,False,False,True,True,True,False,False,False,False,True,False,False,-1,True,False
5,OHLC/4,319,1374,21,macd,167,154,6,3,0.28,1830,689,26,193,915,151,130,926,7,18,113,242,198,816,519,361,336,272,525,461,171,79,486,985,146,483,547,694,681,550,375,784,845,18,754,21,790,156,3,225,28,4,0.88,0.64,17,3,0.83,0.9,0.97,0.98,False,False,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,-1,True,False
6,open,390,492,27,macdh,87,57,6,34,0.51,700,538,150,118,970,112,14,92,126,102,604,23,102,608,819,255,227,197,199,192,149,59,419,371,65,601,7,60,335,832,10,513,557,27,710,26,68,16,12,645,13,35,0.56,0.94,41,47,0.9,0.97,0.95,0.89,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,False,-1,True,False
7,HLCC/4,775,795,18,macd,102,15,6,21,0.24,2892,465,17,201,528,102,213,222,209,97,212,2,21,156,973,596,173,69,681,321,217,134,645,233,954,843,80,981,372,338,210,310,2106,24,525,3,20,39,37,116,49,40,0.61,0.62,19,29,0.88,0.89,0.83,0.82,False,False,True,False,True,True,True,False,True,False,False,True,False,False,False,False,True,-1,True,False
8,open,63,844,22,macds,21,57,6,37,0.17,64,537,12,177,624,101,28,343,217,234,361,16,38,817,921,723,493,452,917,392,188,55,505,468,830,774,390,466,855,24,325,1062,1924,5,406,6,95,82,13,461,22,42,0.29,0.22,30,40,0.94,0.93,0.88,0.94,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,False,True,-1,True,False
9,low,621,1453,46,macd,111,128,6,12,0.32,1716,867,153,43,856,90,151,240,249,22,206,72,131,864,684,171,335,202,202,152,413,61,350,437,587,577,789,755,402,971,278,566,1340,23,22,35,105,199,9,260,49,14,0.98,0.75,26,16,0.89,0.86,0.88,0.87,True,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False,True,-1,True,False
10,HL/2,563,1331,11,macd,76,176,6,44,0.72,2286,156,75,189,912,106,49,892,245,188,150,124,115,948,797,326,248,8,740,246,199,182,114,566,825,803,63,335,584,835,26,549,108,14,879,406,1346,81,50,709,18,30,0.47,0.79,43,17,0.93,0.93,0.82,0.86,True,True,False,False,False,False,False,True,True,True,True,False,False,False,False,True,False,-1,True,False
11,low,714,913,11,macd,142,91,6,19,0.75,466,714,25,46,839,224,13,692,150,46,562,119,73,826,627,350,256,183,944,395,234,206,445,694,567,992,895,385,982,31,136,506,874,11,834,29,84,63,47,220,29,36,0.52,0.73,33,34,0.92,0.97,0.9,0.9,False,True,False,True,True,False,False,True,True,True,True,False,False,False,True,False,True,-1,True,False
12,OHLC/4,516,1433,39,macd,144,62,6,27,0.78,564,423,177,6,992,227,13,357,189,113,626,166,54,651,964,321,191,41,207,198,226,59,823,575,603,65,406,825,51,794,473,623,1811,49,796,8,27,72,4,310,45,6,0.1,0.98,1,4,0.94,0.94,0.91,0.95,False,False,False,False,False,True,True,True,False,True,True,True,True,True,False,True,False,-1,True,False
13,OHLC/4,565,1399,22,macd,105,48,6,15,0.12,2459,548,202,51,685,116,82,122,127,37,257,101,228,476,663,283,275,111,928,491,192,86,624,688,673,300,940,858,325,985,122,1339,341,34,979,10,45,111,12,47,38,27,0.94,0.45,43,27,0.92,0.86,0.98,0.81,True,False,True,True,True,False,True,True,True,True,True,False,False,True,False,True,True,-1,True,False
14,close,785,1183,46,macdh,57,20,6,19,0.24,981,763,152,7,455,237,52,781,53,151,743,130,214,527,457,157,68,14,54,920,430,367,121,582,952,903,270,869,30,597,433,503,709,44,112,24,57,22,2,816,44,26,0.69,0.08,10,22,0.96,0.9,0.98,0.91,True,False,True,False,True,True,True,True,True,True,False,True,False,False,True,False,True,-1,True,False
15,low,646,1419,21,macd,136,5,6,30,0.64,1611,362,62,34,427,222,44,739,91,50,413,25,77,919,813,793,488,155,153,690,175,90,791,138,149,684,897,744,912,90,137,372,1763,27,410,4,66,165,40,892,50,23,0.99,0.91,3,24,0.83,0.84,0.85,0.92,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,-1,True,False
16,HLC/3,364,449,40,macdh,175,182,6,34,0.59,1312,220,125,53,723,27,125,851,24,41,263,237,23,122,560,666,247,73,814,300,351,108,976,788,181,805,838,64,66,317,244,406,2079,12,406,20,64,95,33,935,34,20,0.99,0.56,27,47,0.8,0.88,0.84,0.83,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,-1,True,False
17,OHLC/4,492,1296,7,macd,154,228,6,44,0.66,478,548,199,211,170,115,60,20,205,99,376,143,81,453,943,743,347,134,756,692,465,118,300,777,920,291,212,860,246,200,257,1274,2350,13,147,36,76,182,13,543,20,32,0.24,0.21,42,12,0.98,0.91,0.95,0.93,False,False,True,False,False,True,False,False,True,False,False,True,True,True,True,False,False,-1,True,False
18,HLCC/4,484,1313,14,macd,22,99,6,17,0.12,2951,261,78,223,725,90,235,795,222,79,804,213,187,135,955,481,130,49,400,115,455,282,462,459,878,573,657,255,124,276,378,809,2174,12,572,14,69,29,31,332,23,50,0.26,0.09,40,16,0.98,0.97,0.89,0.81,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,False,False,-1,True,False
19,low,171,1229,34,macd,116,138,6,28,0.52,2606,450,191,58,923,219,95,320,58,44,787,26,238,806,844,457,183,59,835,811,434,103,607,31,279,695,212,5,64,104,130,1252,1975,26,898,11,83,153,21,933,7,44,0.07,0.42,11,28,0.88,0.87,0.85,0.9,True,False,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,-1,True,False
20,high,15,507,19,macd,134,184,6,24,0.78,2861,823,125,54,316,84,160,419,90,238,211,12,7,94,852,636,135,113,239,484,168,16,991,951,990,544,498,349,838,953,109,771,2125,26,906,11,59,209,22,701,39,24,0.82,0.68,25,19,0.98,0.96,0.84,0.97,True,True,True,False,True,False,False,True,True,True,True,True,False,True,False,True,True,-1,True,False
21,HL/2,348,1273,44,macd,191,65,6,5,0.48,2606,43,175,109,596,114,165,47,247,139,983,36,203,562,909,466,495,262,234,181,151,121,915,194,121,372,767,114,605,892,336,674,2050,35,110,34,39,159,6,466,7,4,0.39,0.67,25,39,0.81,0.81,0.91,0.9,False,False,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,-1,True,False
22,OHLC/4,199,616,49,macdh,35,181,6,25,0.08,2283,58,234,139,271,195,145,720,215,83,765,231,103,814,836,571,393,361,190,632,269,146,473,380,489,525,531,527,815,693,336,1332,1830,19,780,34,64,79,49,494,50,26,0.17,0.33,26,28,0.91,0.86,0.92,0.97,True,False,False,True,True,True,False,True,True,True,False,False,True,False,False,False,True,-1,True,False
23,HLC/3,203,945,10,macds,147,100,6,36,0.14,2130,690,212,190,939,95,124,604,60,183,645,204,26,849,696,502,119,101,945,841,154,34,501,662,86,422,384,679,578,729,464,742,1397,10,805,30,50,65,9,701,32,16,0.49,0.77,22,27,0.85,0.88,0.82,0.95,False,True,False,False,True,True,False,True,True,False,False,False,False,False,True,False,False,-1,True,False
24,OHLC/4,518,921,37,macdh,187,238,2,49,0.68,2637,953,137,5,220,16,220,109,34,184,801,77,88,333,368,356,440,314,217,900,368,223,94,385,36,914,179,329,549,807,323,684,1646,47,958,10,98,45,47,196,32,16,0.17,0.09,3,1,0.0,0.0,0.0,0.0,False,True,True,False,False,True,True,True,False,False,True,True,False,True,True,False,True,-1,True,False
25,HLCC/4,351,1307,39,macd,228,89,6,14,0.35,2144,192,170,177,396,26,104,885,61,37,297,113,37,156,960,516,352,234,163,689,218,39,501,644,554,750,526,30,45,541,205,759,1320,1,432,184,629,173,14,29,7,21,0.3,0.44,3,45,0.95,0.89,0.91,0.85,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,-1,True,False
26,HL/2,358,1057,38,macd,20,5,6,32,0.01,1136,766,42,66,75,119,241,867,77,183,738,78,75,5,809,460,246,177,905,563,229,55,648,174,639,854,959,98,52,651,467,1223,2012,30,790,41,87,54,31,495,22,35,0.65,0.24,23,44,0.82,0.96,0.85,0.82,True,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,-1,True,False
27,HL/2,86,444,27,macds,66,111,6,11,0.52,1726,684,191,44,559,162,108,727,27,213,663,134,151,985,732,621,399,318,241,462,405,51,939,9,618,79,239,974,2,412,308,978,1682,34,851,17,82,198,27,775,18,20,0.82,0.61,17,25,0.0,0.0,0.0,0.0,False,False,False,True,True,False,True,False,True,True,False,True,True,True,True,False,True,-1,True,False
28,high,87,1113,39,macds,236,23,6,17,0.72,2156,800,15,189,618,182,37,13,139,175,736,70,13,268,998,495,400,229,113,753,313,29,541,405,809,508,226,341,297,355,293,647,614,46,153,180,911,146,17,417,20,41,0.65,0.46,43,27,0.87,0.91,0.8,0.95,True,True,False,True,False,False,False,True,True,True,False,True,False,True,True,False,False,-1,True,False
29,high,46,88,20,macdh,192,205,6,9,0.96,2269,867,162,114,619,180,65,388,244,173,640,231,215,859,904,603,391,160,193,145,498,310,871,83,224,731,681,783,924,503,294,1390,1164,40,618,369,743,201,11,873,18,24,0.46,0.01,47,29,0.93,0.81,0.93,0.84,False,False,False,True,True,False,True,False,True,False,False,False,True,False,True,True,False,-1,True,False
30,open,394,792,32,macds,238,208,6,28,0.65,1025,574,52,31,6,189,203,847,65,12,917,75,183,451,904,796,171,46,434,404,78,51,729,691,252,490,443,725,253,454,168,730,2400,29,967,22,72,196,35,40,14,45,0.39,0.96,31,11,0.89,0.8,0.93,0.97,True,False,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,-1,True,False
31,open,131,368,35,macdh,182,40,6,32,0.7,2428,733,85,236,716,202,231,813,135,195,845,48,96,905,635,472,442,182,663,477,412,405,476,917,596,603,133,901,214,443,106,444,515,43,383,32,36,177,33,891,43,3,0.16,0.7,47,3,0.81,0.91,0.94,0.82,False,False,True,True,True,True,True,False,True,True,False,False,True,True,True,False,False,-1,True,False
32,high,81,1102,31,macd,242,182,6,31,0.45,2530,949,183,5,998,157,57,371,155,97,570,113,125,913,902,468,437,52,25,955,245,25,629,586,69,372,638,994,62,847,476,1177,2466,8,385,15,33,70,7,204,22,23,0.17,0.22,7,16,0.98,0.92,0.96,0.8,False,True,False,False,False,False,False,True,True,True,False,True,False,True,False,True,False,-1,True,False
33,low,169,548,31,macdh,205,177,6,47,0.04,2574,601,173,177,878,173,45,888,27,120,527,221,16,106,759,724,487,170,220,542,418,225,885,690,743,270,359,390,962,338,430,1247,2175,9,341,14,72,199,36,256,23,22,0.07,0.33,23,3,0.93,0.99,0.97,0.89,True,False,False,True,False,True,True,True,True,True,True,False,True,False,False,True,False,-1,True,False
34,OHLC/4,734,1463,35,macd,235,135,6,24,0.28,590,659,75,170,263,229,109,22,225,24,999,47,239,490,827,653,469,430,565,121,35,8,913,398,270,262,916,86,82,668,139,381,541,47,12,26,68,200,7,221,44,39,0.94,0.74,37,11,0.94,0.91,0.99,0.83,True,False,True,False,True,True,True,False,False,True,False,True,False,False,True,True,True,-1,True,False
